work_id,mp_name,district,block,village,category,description,sanctioned_cost_lakh,sanction_year,status,is_seeded_duplicate,duplicate_of
MPLAD-2023-100438,MP_01,Bankura,Tehatta-I,Fatepur,Sports,"Development of playground with boundary fencing at Fatepur under MPLADS, Ward No. 4, Tehatta-I block, Bankura district",43.43,2023,Ongoing,False,
MPLAD-2023-100522,MP_35,Murshidabad,Karimpur-II,Nokari,Community,"Construction of community hall with toilet block at Nokari under MPLADS, Ward No. 13, Karimpur-II block, Murshidabad district",3.99,2023,Completed,False,
MPLAD-2023-100312,MP_11,Purulia,Nakashipara,Fatepur,Sports,"Development of playground with boundary fencing at Fatepur under MPLADS, Ward No. 6, Nakashipara block, Purulia district",41.94,2023,Completed,False,
MPLAD-2020-100561,MP_23,Jalpaiguri,Ranaghat-I,Fatepur,Community,"Construction of community hall with toilet block at Fatepur under MPLADS, Ward No. 3, Ranaghat-I block, Jalpaiguri district",23.69,2020,Completed,False,
MPLAD-2022-100626,MP_12,Bardhaman,Chakdaha,Barasat,Education,"Construction of additional classroom block at Barasat Primary School under MPLADS, Ward No. 3, Chakdaha block, Bardhaman district",8.21,2022,Ongoing,False,
MPLAD-DUP-200003,MP_19,Jalpaiguri,Hanskhali,Aistala,Education,"Procurement and supply of benches and desks to Aistala High School under MPLADS under MPLADS, Ward No. 15, Hanskhali block, Jalpaiguri district",13.94,2022,Completed,True,MPLAD-2021-100940
MPLAD-2020-100806,MP_23,Malda,Ranaghat-I,Panchberia,Electrification,"Installation of 7 solar street lights at Panchberia, Ranaghat-I under MPLADS, Ward No. 7, Ranaghat-I block, Malda district",5.04,2020,Completed,False,
MPLAD-2022-100605,MP_26,Hooghly,Krishnanagar-II,Panchberia,Sanitation,"Construction of 4 community sanitary complex at Panchberia under MPLADS, Ward No. 20, Krishnanagar-II block, Hooghly district",35.56,2022,Ongoing,False,
MPLAD-2022-100297,MP_08,Nadia,Krishnanagar-II,Panchberia,Water,"Installation of 6 deep tube wells with submersible pump at Panchberia under MPLADS, Ward No. 14, Krishnanagar-II block, Nadia district",30.85,2022,Completed,False,
MPLAD-2019-100308,MP_18,Nadia,Kaliganj,Dhantala,Education,"Supply of benches and desks to Dhantala High School under MPLADS under MPLADS, Ward No. 24, Kaliganj block, Nadia district",13.04,2019,Completed,False,
MPLAD-2022-100374,MP_09,Jalpaiguri,Hanskhali,Muragachha,Sanitation,"Construction of 8 community sanitary complex at Muragachha under MPLADS, Ward No. 9, Hanskhali block, Jalpaiguri district",42.03,2022,Completed,False,
MPLAD-2019-101176,MP_37,Howrah,Santipur,Aistala,Electrification,"Installation of 1 solar street lights at Aistala, Santipur under MPLADS, Ward No. 22, Santipur block, Howrah district",24.12,2019,Ongoing,False,
MPLAD-2021-101073,MP_20,Purulia,Santipur,Bahirgachi,Electrification,"Providing LED high mast lighting at Bahirgachi market area under MPLADS, Ward No. 17, Santipur block, Purulia district",39.36,2021,Ongoing,False,
MPLAD-2025-100650,MP_10,Nadia,Krishnanagar-II,Subarnapur,Water,"Construction of overhead water reservoir of 4000 litre capacity at Subarnapur under MPLADS, Ward No. 6, Krishnanagar-II block, Nadia district",33.96,2025,Ongoing,False,
MPLAD-2025-100846,MP_32,Malda,Karimpur-II,Dhantala,Water,"Installation of 4 deep tube wells with submersible pump at Dhantala under MPLADS, Ward No. 8, Karimpur-II block, Malda district",37.05,2025,Ongoing,False,
MPLAD-2020-100596,MP_24,Howrah,Chakdaha,Dhantala,Education,"Construction of additional classroom block at Dhantala Primary School under MPLADS, Ward No. 18, Chakdaha block, Howrah district",44.38,2020,Ongoing,False,
MPLAD-2020-100953,MP_06,Murshidabad,Tehatta-I,Barasat,Water,"Construction of overhead water reservoir of 6000 litre capacity at Barasat under MPLADS, Ward No. 12, Tehatta-I block, Murshidabad district",20.45,2020,Sanctioned,False,
MPLAD-2022-100178,MP_04,Birbhum,Krishnanagar-II,Rautari,Sports,"Development of playground with boundary fencing at Rautari under MPLADS, Ward No. 20, Krishnanagar-II block, Birbhum district",6.17,2022,Completed,False,
MPLAD-2025-101007,MP_17,Bardhaman,Hanskhali,Bhatjangla,Health,"Supply of ambulance to Hanskhali Rural Hospital under MPLADS under MPLADS, Ward No. 8, Hanskhali block, Bardhaman district",6.94,2025,Completed,False,
MPLAD-2019-100553,MP_17,Bardhaman,Haringhata,Nokari,Community,"Renovation of crematorium boundary wall at Nokari under MPLADS, Ward No. 20, Haringhata block, Bardhaman district",1.58,2019,Sanctioned,False,
MPLAD-2021-100996,MP_33,Bardhaman,Karimpur-II,Bhatjangla,Electrification,"Providing LED high mast lighting at Bhatjangla market area under MPLADS, Ward No. 8, Karimpur-II block, Bardhaman district",10.06,2021,Ongoing,False,
MPLAD-2019-100294,MP_20,Hooghly,Chakdaha,Bahirgachi,Road,"Construction of 1709 m concrete road from Rautari to Kalinagar at Bahirgachi under MPLADS, Ward No. 18, Chakdaha block, Hooghly district",5.45,2019,Completed,False,
MPLAD-2021-100331,MP_03,Malda,Karimpur-II,Barasat,Road,"Improvement and metalling of village approach road at Barasat, Karimpur-II under MPLADS, Ward No. 15, Karimpur-II block, Malda district",19.04,2021,Completed,False,
MPLAD-DUP-200029,MP_19,Jalpaiguri,Nakashipara,Kalinagar,Community,"Renovation of crematorium boundary wall at Kalinagar under MPLADS, Ward No. 4, Nakashipara block, Jalpaiguri district",45.93,2025,Ongoing,True,MPLAD-2024-100404
MPLAD-2024-100432,MP_24,Murshidabad,Krishnanagar-II,Fatepur,Water,"Installation of 7 deep tube wells with submersible pump at Fatepur under MPLADS, Ward No. 10, Krishnanagar-II block, Murshidabad district",17.94,2024,Ongoing,False,
MPLAD-2022-100892,MP_25,Hooghly,Nakashipara,Nokari,Water,"Installation of 6 deep tube wells with submersible pump at Nokari under MPLADS, Ward No. 7, Nakashipara block, Hooghly district",17.97,2022,Ongoing,False,
MPLAD-2023-100088,MP_31,Malda,Tehatta-I,Panchberia,Irrigation,"Re-excavation of village pond for irrigation at Panchberia under MPLADS, Ward No. 1, Tehatta-I block, Malda district",22.8,2023,Sanctioned,False,
MPLAD-2023-100767,MP_24,Murshidabad,Nakashipara,Fatepur,Road,"Construction of 1795 m concrete road from Bahirgachi to Jaguli at Fatepur under MPLADS, Ward No. 12, Nakashipara block, Murshidabad district",29.78,2023,Ongoing,False,
MPLAD-DUP-200053,MP_14,Howrah,Karimpur-II,Nokari,Electrification,"Setting up of 1 solar-powered street lamps at Nokari, Karimpur-II under MPLADS, Ward No. 10, Karimpur-II block, Howrah district",14.9,2021,Completed,True,MPLAD-2020-100330
MPLAD-2021-100485,MP_26,Howrah,Karimpur-II,Nokari,Community,"Renovation of crematorium boundary wall at Nokari under MPLADS, Ward No. 18, Karimpur-II block, Howrah district",4.49,2021,Ongoing,False,
MPLAD-2024-100523,MP_17,Howrah,Krishnanagar-II,Muragachha,Sports,"Development of playground with boundary fencing at Muragachha under MPLADS, Ward No. 6, Krishnanagar-II block, Howrah district",10.69,2024,Completed,False,
MPLAD-2023-100711,MP_09,Bardhaman,Kaliganj,Debagram,Health,"Supply of ambulance to Kaliganj Rural Hospital under MPLADS under MPLADS, Ward No. 8, Kaliganj block, Bardhaman district",15.02,2023,Completed,False,
MPLAD-2022-100661,MP_18,Murshidabad,Krishnanagar-II,Fatepur,Sports,"Development of playground with boundary fencing at Fatepur under MPLADS, Ward No. 5, Krishnanagar-II block, Murshidabad district",15.68,2022,Completed,False,
MPLAD-2022-100290,MP_04,Nadia,Tehatta-I,Barasat,Water,"Installation of 7 deep tube wells with submersible pump at Barasat under MPLADS, Ward No. 19, Tehatta-I block, Nadia district",35.55,2022,Sanctioned,False,
MPLAD-2024-100285,MP_21,Malda,Haringhata,Dhantala,Community,"Construction of community hall with toilet block at Dhantala under MPLADS, Ward No. 13, Haringhata block, Malda district",38.16,2024,Completed,False,
MPLAD-2023-100634,MP_35,Bardhaman,Santipur,Dhantala,Education,"Construction of additional classroom block at Dhantala Primary School under MPLADS, Ward No. 11, Santipur block, Bardhaman district",41.17,2023,Completed,False,
MPLAD-DUP-200028,MP_22,Hooghly,Nakashipara,Aistala,Road,"Upgradation and black-topping of village approach road at Aistala, Nakashipara under MPLADS, Ward No. 24, Nakashipara block, Hooghly district",32.12,2021,Completed,True,MPLAD-2020-100652
MPLAD-2025-100545,MP_33,Murshidabad,Hanskhali,Mamjoan,Education,"Construction of additional classroom block at Mamjoan Primary School under MPLADS, Ward No. 2, Hanskhali block, Murshidabad district",34.93,2025,Ongoing,False,
MPLAD-2019-100266,MP_37,Howrah,Haringhata,Barasat,Road,"Construction of 1204 m concrete road from Debagram to Mamjoan at Barasat under MPLADS, Ward No. 9, Haringhata block, Howrah district",10.37,2019,Completed,False,
MPLAD-2024-100327,MP_12,Bardhaman,Haringhata,Bhatjangla,Education,"Construction of additional classroom block at Bhatjangla Primary School under MPLADS, Ward No. 4, Haringhata block, Bardhaman district",14.51,2024,Completed,False,
MPLAD-2019-100798,MP_17,Purulia,Ranaghat-I,Dhantala,Water,"Construction of overhead water reservoir of 8000 litre capacity at Dhantala under MPLADS, Ward No. 14, Ranaghat-I block, Purulia district",35.91,2019,Completed,False,
MPLAD-2022-100059,MP_31,Jalpaiguri,Karimpur-II,Bahirgachi,Electrification,"Providing LED high mast lighting at Bahirgachi market area under MPLADS, Ward No. 6, Karimpur-II block, Jalpaiguri district",10.12,2022,Sanctioned,False,
MPLAD-2022-100752,MP_36,Murshidabad,Chakdaha,Bahirgachi,Community,"Renovation of crematorium boundary wall at Bahirgachi under MPLADS, Ward No. 18, Chakdaha block, Murshidabad district",22.83,2022,Sanctioned,False,
MPLAD-DUP-200024,MP_10,Nadia,Nakashipara,Bhatjangla,Water,"Building of overhead water reservoir of 7000 litre capacity at Bhatjangla under MPLADS, Ward No. 3, Nakashipara block, Nadia district",9.04,2022,Ongoing,True,MPLAD-2021-100555
MPLAD-2025-100923,MP_34,Malda,Santipur,Subarnapur,Water,"Installation of 1 deep tube wells with submersible pump at Subarnapur under MPLADS, Ward No. 17, Santipur block, Malda district",12.35,2025,Ongoing,False,
MPLAD-2019-100812,MP_31,Bankura,Karimpur-II,Bahirgachi,Community,"Renovation of crematorium boundary wall at Bahirgachi under MPLADS, Ward No. 19, Karimpur-II block, Bankura district",40.3,2019,Completed,False,
MPLAD-2021-100793,MP_35,Nadia,Santipur,Panchberia,Irrigation,"Re-excavation of village pond for irrigation at Panchberia under MPLADS, Ward No. 15, Santipur block, Nadia district",14.67,2021,Completed,False,
MPLAD-2025-101105,MP_18,Murshidabad,Nakashipara,Kalinagar,Health,"Supply of ambulance to Nakashipara Rural Hospital under MPLADS under MPLADS, Ward No. 1, Nakashipara block, Murshidabad district",23.58,2025,Completed,False,
MPLAD-2023-100333,MP_27,Murshidabad,Santipur,Debagram,Water,"Installation of 6 deep tube wells with submersible pump at Debagram under MPLADS, Ward No. 8, Santipur block, Murshidabad district",39.27,2023,Completed,False,
MPLAD-2024-100558,MP_20,Jalpaiguri,Krishnanagar-II,Muragachha,Road,"Improvement and metalling of village approach road at Muragachha, Krishnanagar-II under MPLADS, Ward No. 13, Krishnanagar-II block, Jalpaiguri district",22.14,2024,Ongoing,False,
MPLAD-2024-100411,MP_04,Bankura,Santipur,Barasat,Water,"Installation of 1 deep tube wells with submersible pump at Barasat under MPLADS, Ward No. 13, Santipur block, Bankura district",25.41,2024,Completed,False,
MPLAD-2022-100542,MP_17,Purulia,Haringhata,Aistala,Road,"Improvement and metalling of village approach road at Aistala, Haringhata under MPLADS, Ward No. 14, Haringhata block, Purulia district",13.4,2022,Completed,False,
MPLAD-2021-101010,MP_32,Birbhum,Kaliganj,Rautari,Road,"Improvement and metalling of village approach road at Rautari, Kaliganj under MPLADS, Ward No. 15, Kaliganj block, Birbhum district",21.59,2021,Completed,False,
MPLAD-2022-100409,MP_22,Hooghly,Krishnanagar-II,Mamjoan,Health,"Supply of ambulance to Krishnanagar-II Rural Hospital under MPLADS under MPLADS, Ward No. 21, Krishnanagar-II block, Hooghly district",41.99,2022,Completed,False,
MPLAD-2022-100570,MP_10,Howrah,Nakashipara,Mamjoan,Sports,"Development of playground with boundary fencing at Mamjoan under MPLADS, Ward No. 18, Nakashipara block, Howrah district",2.11,2022,Completed,False,
MPLAD-2020-100365,MP_02,Birbhum,Hanskhali,Bahirgachi,Sanitation,"Construction of 3 community sanitary complex at Bahirgachi under MPLADS, Ward No. 6, Hanskhali block, Birbhum district",28.37,2020,Ongoing,False,
MPLAD-2022-100759,MP_36,Birbhum,Tehatta-I,Panchberia,Education,"Construction of additional classroom block at Panchberia Primary School under MPLADS, Ward No. 4, Tehatta-I block, Birbhum district",19.2,2022,Completed,False,
MPLAD-2022-100458,MP_14,Nadia,Chakdaha,Bahirgachi,Road,"Improvement and metalling of village approach road at Bahirgachi, Chakdaha under MPLADS, Ward No. 6, Chakdaha block, Nadia district",32.01,2022,Ongoing,False,
MPLAD-2025-100328,MP_38,Malda,Tehatta-I,Bahirgachi,Road,"Improvement and metalling of village approach road at Bahirgachi, Tehatta-I under MPLADS, Ward No. 22, Tehatta-I block, Malda district",34.41,2025,Completed,False,
MPLAD-2022-100430,MP_11,Bardhaman,Santipur,Muragachha,Water,"Construction of overhead water reservoir of 4000 litre capacity at Muragachha under MPLADS, Ward No. 12, Santipur block, Bardhaman district",32.34,2022,Sanctioned,False,
MPLAD-2021-100506,MP_19,Jalpaiguri,Krishnanagar-II,Rautari,Sanitation,"Construction of 6 community sanitary complex at Rautari under MPLADS, Ward No. 4, Krishnanagar-II block, Jalpaiguri district",44.9,2021,Completed,False,
MPLAD-2019-100973,MP_08,Bardhaman,Ranaghat-I,Panchberia,Electrification,"Installation of 6 solar street lights at Panchberia, Ranaghat-I under MPLADS, Ward No. 3, Ranaghat-I block, Bardhaman district",29.09,2019,Completed,False,
MPLAD-2025-100083,MP_25,Purulia,Nakashipara,Nokari,Community,"Renovation of crematorium boundary wall at Nokari under MPLADS, Ward No. 1, Nakashipara block, Purulia district",9.22,2025,Completed,False,
MPLAD-2022-100129,MP_05,Bankura,Ranaghat-I,Bhatjangla,Road,"Construction of 1226 m concrete road from Barasat to Muragachha at Bhatjangla under MPLADS, Ward No. 6, Ranaghat-I block, Bankura district",12.48,2022,Completed,False,
MPLAD-2023-100718,MP_01,Bankura,Krishnanagar-II,Dhantala,Community,"Construction of community hall with toilet block at Dhantala under MPLADS, Ward No. 18, Krishnanagar-II block, Bankura district",38.55,2023,Completed,False,
MPLAD-2022-100451,MP_38,Nadia,Kaliganj,Muragachha,Community,"Renovation of crematorium boundary wall at Muragachha under MPLADS, Ward No. 12, Kaliganj block, Nadia district",7.7,2022,Ongoing,False,
MPLAD-2022-100171,MP_22,Birbhum,Hanskhali,Dhantala,Health,"Supply of ambulance to Hanskhali Rural Hospital under MPLADS under MPLADS, Ward No. 7, Hanskhali block, Birbhum district",37.54,2022,Ongoing,False,
MPLAD-2020-100785,MP_10,Bardhaman,Hanskhali,Bhatjangla,Education,"Supply of benches and desks to Bhatjangla High School under MPLADS under MPLADS, Ward No. 8, Hanskhali block, Bardhaman district",8.95,2020,Completed,False,
MPLAD-2020-100260,MP_29,Howrah,Hanskhali,Barasat,Electrification,"Providing LED high mast lighting at Barasat market area under MPLADS, Ward No. 24, Hanskhali block, Howrah district",4.63,2020,Completed,False,
MPLAD-2025-100937,MP_37,Bardhaman,Haringhata,Mamjoan,Electrification,"Installation of 1 solar street lights at Mamjoan, Haringhata under MPLADS, Ward No. 12, Haringhata block, Bardhaman district",20.56,2025,Ongoing,False,
MPLAD-2020-100715,MP_16,Bankura,Tehatta-I,Kalinagar,Electrification,"Installation of 7 solar street lights at Kalinagar, Tehatta-I under MPLADS, Ward No. 17, Tehatta-I block, Bankura district",11.72,2020,Completed,False,
MPLAD-2019-101022,MP_08,Jalpaiguri,Haringhata,Kalinagar,Sports,"Development of playground with boundary fencing at Kalinagar under MPLADS, Ward No. 10, Haringhata block, Jalpaiguri district",8.7,2019,Completed,False,
MPLAD-DUP-200058,MP_07,Hooghly,Haringhata,Panchberia,Electrification,"Setting up of 3 solar-powered street lamps at Panchberia, Haringhata under MPLADS, Ward No. 11, Haringhata block, Hooghly district",24.07,2024,Completed,True,MPLAD-2023-100158
MPLAD-2022-100332,MP_23,Bardhaman,Santipur,Bhatjangla,Education,"Construction of additional classroom block at Bhatjangla Primary School under MPLADS, Ward No. 8, Santipur block, Bardhaman district",23.16,2022,Completed,False,
MPLAD-2024-100355,MP_24,Murshidabad,Karimpur-II,Kalinagar,Community,"Renovation of crematorium boundary wall at Kalinagar under MPLADS, Ward No. 20, Karimpur-II block, Murshidabad district",43.22,2024,Completed,False,
MPLAD-2024-100138,MP_10,Howrah,Haringhata,Fatepur,Community,"Renovation of crematorium boundary wall at Fatepur under MPLADS, Ward No. 9, Haringhata block, Howrah district",2.81,2024,Completed,False,
MPLAD-2024-100292,MP_06,Howrah,Kaliganj,Bahirgachi,Irrigation,"Re-excavation of village pond for irrigation at Bahirgachi under MPLADS, Ward No. 9, Kaliganj block, Howrah district",16.13,2024,Sanctioned,False,
MPLAD-2023-101054,MP_37,Bankura,Krishnanagar-II,Panchberia,Health,"Construction of waiting shed at Panchberia Sub-Centre under MPLADS, Ward No. 14, Krishnanagar-II block, Bankura district",4.23,2023,Completed,False,
MPLAD-2021-100828,MP_17,Purulia,Tehatta-I,Muragachha,Electrification,"Installation of 5 solar street lights at Muragachha, Tehatta-I under MPLADS, Ward No. 13, Tehatta-I block, Purulia district",27.83,2021,Ongoing,False,
MPLAD-2020-100141,MP_30,Nadia,Hanskhali,Panchberia,Sanitation,"Construction of 6 community sanitary complex at Panchberia under MPLADS, Ward No. 2, Hanskhali block, Nadia district",36.02,2020,Completed,False,
MPLAD-2024-100922,MP_20,Birbhum,Hanskhali,Kalinagar,Water,"Construction of overhead water reservoir of 1000 litre capacity at Kalinagar under MPLADS, Ward No. 18, Hanskhali block, Birbhum district",32.51,2024,Completed,False,
MPLAD-2019-100588,MP_38,Purulia,Santipur,Debagram,Sports,"Development of playground with boundary fencing at Debagram under MPLADS, Ward No. 24, Santipur block, Purulia district",36.22,2019,Ongoing,False,
MPLAD-2021-100513,MP_39,Murshidabad,Chakdaha,Debagram,Road,"Construction of 293 m concrete road from Bahirgachi to Barasat at Debagram under MPLADS, Ward No. 12, Chakdaha block, Murshidabad district",39.32,2021,Ongoing,False,
MPLAD-2025-100139,MP_16,Howrah,Ranaghat-I,Dhantala,Water,"Installation of 1 deep tube wells with submersible pump at Dhantala under MPLADS, Ward No. 22, Ranaghat-I block, Howrah district",24.64,2025,Completed,False,
MPLAD-2021-100814,MP_03,Jalpaiguri,Nakashipara,Bahirgachi,Electrification,"Providing LED high mast lighting at Bahirgachi market area under MPLADS, Ward No. 9, Nakashipara block, Jalpaiguri district",34.5,2021,Completed,False,
MPLAD-2020-100974,MP_20,Hooghly,Ranaghat-I,Bhatjangla,Road,"Improvement and metalling of village approach road at Bhatjangla, Ranaghat-I under MPLADS, Ward No. 9, Ranaghat-I block, Hooghly district",2.95,2020,Completed,False,
MPLAD-2019-100224,MP_22,Bankura,Krishnanagar-II,Barasat,Sanitation,"Construction of 4 community sanitary complex at Barasat under MPLADS, Ward No. 12, Krishnanagar-II block, Bankura district",37.89,2019,Completed,False,
MPLAD-2021-101087,MP_17,Jalpaiguri,Krishnanagar-II,Kalinagar,Community,"Construction of community hall with toilet block at Kalinagar under MPLADS, Ward No. 2, Krishnanagar-II block, Jalpaiguri district",19.04,2021,Ongoing,False,
MPLAD-2020-100274,MP_19,Purulia,Hanskhali,Bhatjangla,Water,"Installation of 5 deep tube wells with submersible pump at Bhatjangla under MPLADS, Ward No. 21, Hanskhali block, Purulia district",17.15,2020,Completed,False,
MPLAD-2020-100323,MP_05,Howrah,Karimpur-II,Mamjoan,Sanitation,"Construction of 4 community sanitary complex at Mamjoan under MPLADS, Ward No. 1, Karimpur-II block, Howrah district",34.19,2020,Completed,False,
MPLAD-2024-100390,MP_11,Nadia,Kaliganj,Dhantala,Sports,"Development of playground with boundary fencing at Dhantala under MPLADS, Ward No. 5, Kaliganj block, Nadia district",21.51,2024,Completed,False,
MPLAD-2022-100325,MP_26,Nadia,Ranaghat-I,Jaguli,Road,"Construction of 506 m concrete road from Debagram to Kalinagar at Jaguli under MPLADS, Ward No. 18, Ranaghat-I block, Nadia district",19.78,2022,Completed,False,
MPLAD-2021-100548,MP_27,Birbhum,Hanskhali,Bahirgachi,Electrification,"Providing LED high mast lighting at Bahirgachi market area under MPLADS, Ward No. 19, Hanskhali block, Birbhum district",29.46,2021,Ongoing,False,
MPLAD-2025-100839,MP_07,Hooghly,Ranaghat-I,Fatepur,Health,"Supply of ambulance to Ranaghat-I Rural Hospital under MPLADS under MPLADS, Ward No. 3, Ranaghat-I block, Hooghly district",32.49,2025,Completed,False,
MPLAD-DUP-200061,MP_03,Bardhaman,Kaliganj,Bhatjangla,Road,"Improvement and metalling of village approach road at Bhatjangla, Kaliganj under MPLADS, Ward No. 7, Kaliganj block, Bardhaman district",33.91,2023,Sanctioned,True,MPLAD-2022-100976
MPLAD-2022-101179,MP_10,Jalpaiguri,Ranaghat-I,Subarnapur,Electrification,"Installation of 5 solar street lights at Subarnapur, Ranaghat-I under MPLADS, Ward No. 19, Ranaghat-I block, Jalpaiguri district",34.54,2022,Completed,False,
MPLAD-2021-100660,MP_05,Bardhaman,Tehatta-I,Bhatjangla,Education,"Construction of additional classroom block at Bhatjangla Primary School under MPLADS, Ward No. 19, Tehatta-I block, Bardhaman district",28.59,2021,Ongoing,False,
MPLAD-2021-100716,MP_20,Bardhaman,Hanskhali,Subarnapur,Road,"Improvement and metalling of village approach road at Subarnapur, Hanskhali under MPLADS, Ward No. 19, Hanskhali block, Bardhaman district",22.67,2021,Completed,False,
MPLAD-2019-100714,MP_30,Murshidabad,Nakashipara,Aistala,Irrigation,"Re-excavation of village pond for irrigation at Aistala under MPLADS, Ward No. 9, Nakashipara block, Murshidabad district",8.75,2019,Completed,False,
MPLAD-2021-100772,MP_09,Purulia,Santipur,Subarnapur,Road,"Improvement and metalling of village approach road at Subarnapur, Santipur under MPLADS, Ward No. 13, Santipur block, Purulia district",37.09,2021,Completed,False,
MPLAD-2023-100872,MP_15,Bankura,Karimpur-II,Bhatjangla,Electrification,"Providing LED high mast lighting at Bhatjangla market area under MPLADS, Ward No. 6, Karimpur-II block, Bankura district",27.61,2023,Completed,False,
MPLAD-2020-100435,MP_10,Howrah,Haringhata,Mamjoan,Water,"Construction of overhead water reservoir of 6000 litre capacity at Mamjoan under MPLADS, Ward No. 8, Haringhata block, Howrah district",40.07,2020,Completed,False,
MPLAD-2020-100575,MP_36,Howrah,Krishnanagar-II,Aistala,Water,"Construction of overhead water reservoir of 5000 litre capacity at Aistala under MPLADS, Ward No. 17, Krishnanagar-II block, Howrah district",23.72,2020,Completed,False,
MPLAD-2021-100667,MP_11,Bardhaman,Tehatta-I,Fatepur,Electrification,"Providing LED high mast lighting at Fatepur market area under MPLADS, Ward No. 11, Tehatta-I block, Bardhaman district",30.22,2021,Completed,False,
MPLAD-2025-100552,MP_25,Howrah,Nakashipara,Dhantala,Water,"Construction of overhead water reservoir of 1000 litre capacity at Dhantala under MPLADS, Ward No. 7, Nakashipara block, Howrah district",21.82,2025,Completed,False,
MPLAD-2024-100649,MP_10,Bankura,Haringhata,Panchberia,Electrification,"Providing LED high mast lighting at Panchberia market area under MPLADS, Ward No. 13, Haringhata block, Bankura district",33.07,2024,Completed,False,
MPLAD-DUP-200057,MP_20,Birbhum,Hanskhali,Kalinagar,Water,"Building of overhead water reservoir of 1000 litre capacity at Kalinagar under MPLADS, Ward No. 18, Hanskhali block, Birbhum district",41.68,2025,Completed,True,MPLAD-2024-100922
MPLAD-DUP-200065,MP_14,Hooghly,Nakashipara,Bahirgachi,Sanitation,"Building of 4 community sanitary complex at Bahirgachi under MPLADS, Ward No. 7, Nakashipara block, Hooghly district",48.0,2022,Completed,True,MPLAD-2021-101108
MPLAD-2025-100321,MP_31,Birbhum,Santipur,Panchberia,Education,"Construction of additional classroom block at Panchberia Primary School under MPLADS, Ward No. 6, Santipur block, Birbhum district",17.98,2025,Completed,False,
MPLAD-2021-100429,MP_05,Malda,Ranaghat-I,Nokari,Education,"Construction of additional classroom block at Nokari Primary School under MPLADS, Ward No. 10, Ranaghat-I block, Malda district",4.96,2021,Ongoing,False,
MPLAD-2019-100756,MP_39,Jalpaiguri,Santipur,Subarnapur,Sanitation,"Construction of 8 community sanitary complex at Subarnapur under MPLADS, Ward No. 23, Santipur block, Jalpaiguri district",12.0,2019,Completed,False,
MPLAD-2022-100976,MP_03,Bardhaman,Kaliganj,Bhatjangla,Road,"Improvement and metalling of village approach road at Bhatjangla, Kaliganj under MPLADS, Ward No. 7, Kaliganj block, Bardhaman district",29.17,2022,Sanctioned,False,
MPLAD-2021-100422,MP_10,Purulia,Haringhata,Panchberia,Community,"Construction of community hall with toilet block at Panchberia under MPLADS, Ward No. 17, Haringhata block, Purulia district",41.26,2021,Ongoing,False,
MPLAD-2023-100039,MP_20,Purulia,Nakashipara,Subarnapur,Health,"Construction of waiting shed at Subarnapur Sub-Centre under MPLADS, Ward No. 20, Nakashipara block, Purulia district",39.56,2023,Ongoing,False,
MPLAD-2021-100030,MP_28,Birbhum,Kaliganj,Jaguli,Sports,"Development of playground with boundary fencing at Jaguli under MPLADS, Ward No. 11, Kaliganj block, Birbhum district",33.65,2021,Completed,False,
MPLAD-2023-100242,MP_38,Birbhum,Chakdaha,Barasat,Education,"Construction of additional classroom block at Barasat Primary School under MPLADS, Ward No. 20, Chakdaha block, Birbhum district",32.9,2023,Sanctioned,False,
MPLAD-2023-100676,MP_27,Murshidabad,Tehatta-I,Rautari,Road,"Improvement and metalling of village approach road at Rautari, Tehatta-I under MPLADS, Ward No. 22, Tehatta-I block, Murshidabad district",3.65,2023,Completed,False,
MPLAD-2019-100931,MP_18,Birbhum,Kaliganj,Rautari,Sports,"Development of playground with boundary fencing at Rautari under MPLADS, Ward No. 9, Kaliganj block, Birbhum district",3.43,2019,Completed,False,
MPLAD-2022-100136,MP_31,Bardhaman,Chakdaha,Fatepur,Education,"Construction of additional classroom block at Fatepur Primary School under MPLADS, Ward No. 1, Chakdaha block, Bardhaman district",24.02,2022,Completed,False,
MPLAD-2021-100310,MP_14,Bankura,Krishnanagar-II,Rautari,Road,"Construction of 979 m concrete road from Fatepur to Kalinagar at Rautari under MPLADS, Ward No. 9, Krishnanagar-II block, Bankura district",26.11,2021,Completed,False,
MPLAD-2022-101081,MP_38,Birbhum,Haringhata,Muragachha,Electrification,"Installation of 1 solar street lights at Muragachha, Haringhata under MPLADS, Ward No. 10, Haringhata block, Birbhum district",4.79,2022,Completed,False,
MPLAD-2021-100534,MP_34,Malda,Kaliganj,Mamjoan,Irrigation,"Re-excavation of village pond for irrigation at Mamjoan under MPLADS, Ward No. 16, Kaliganj block, Malda district",23.72,2021,Completed,False,
MPLAD-2019-100413,MP_04,Howrah,Nakashipara,Aistala,Sports,"Development of playground with boundary fencing at Aistala under MPLADS, Ward No. 16, Nakashipara block, Howrah district",43.89,2019,Completed,False,
MPLAD-2023-101145,MP_25,Bardhaman,Nakashipara,Kalinagar,Sanitation,"Construction of 3 community sanitary complex at Kalinagar under MPLADS, Ward No. 5, Nakashipara block, Bardhaman district",10.0,2023,Completed,False,
MPLAD-DUP-200087,MP_15,Purulia,Krishnanagar-II,Dhantala,Road,"Upgradation and black-topping of village approach road at Dhantala, Krishnanagar-II under MPLADS, Ward No. 1, Krishnanagar-II block, Purulia district",5.92,2025,Ongoing,True,MPLAD-2024-100026
